publisher,n_skills,total_installs,pct_official
github,275,1984194,100.0
affaan-m,183,664842,0.0
anthropics,170,1978587,100.0
wshobson,153,1373057,0.0
claude-office-skills,134,271687,0.0
serpdownloaders,127,103575,0.0
googleworkspace,95,1537950,100.0
sickn33,89,165326,0.0
aradotso,88,101974,0.0
refoundai,84,113780,0.0
giuseppe-trisciuoglio,80,104351,0.0
supercent-io,77,746054,0.0
dpearson2699,74,97560,0.0
trailofbits,72,169968,0.0
phuryn,65,57212,0.0
kostja94,65,54077,0.0
jeffallan,65,215103,0.0
coreyhaines31,59,2194906,0.0
nomadamas,55,90776,0.0
flutter,54,296396,100.0
getsentry,50,76508,100.0
steipete,50,101240,0.0
microsoft,47,7560378,100.0
deanpeters,45,48450,0.0
wondelai,42,78030,0.0
samber,41,96086,0.0
jezweb,40,48185,0.0
davila7,40,42036,0.0
openai,39,63154,100.0
alirezarezvani,36,46682,0.0
rudrankriyam,35,50184,0.0
agentspace-so,32,2414814,0.0
jaganpro,32,32612,0.0
vercel-labs,31,3288510,100.0
firecrawl,31,510945,100.0
eronred,30,34883,0.0
composiohq,30,73853,0.0
runcomfy-com,30,336416,0.0
softaworks,29,102961,0.0
forcedotcom,29,31775,0.0
doany-ai,29,324599,0.0
ar9av,28,38736,0.0
binance,28,69222,0.0
addyosmani,27,144239,0.0
heygen-com,27,550292,0.0
google,27,119690,0.0
okx,27,111490,0.0
larksuite,26,3313471,0.0
mattpocock,24,1608722,0.0
pixijs,24,20442,0.0
