skill_id,category,dominant_procedural,dominant_analytical,dominant_orchestration,dominant_compliance,dominant_documentation,n_dominant
SD01,software-development,0,0,0,0,1,1
SD02,software-development,1,0,0,0,1,2
SD03,software-development,1,0,0,0,0,1
SD04,software-development,1,0,0,0,0,1
SD05,software-development,0,0,0,0,0,0
SD06,software-development,0,0,0,0,1,1
SD07,software-development,0,0,0,0,0,0
SD08,software-development,1,0,0,0,0,1
SD09,software-development,1,0,0,0,0,1
SD10,software-development,0,0,0,0,0,0
UI01,ui-ux-design,0,0,0,0,0,0
UI02,ui-ux-design,1,0,0,0,0,1
UI03,ui-ux-design,0,0,0,0,0,0
UI04,ui-ux-design,1,0,0,0,0,1
UI05,ui-ux-design,1,0,0,0,0,1
UI06,ui-ux-design,0,0,0,0,0,0
UI07,ui-ux-design,0,0,0,0,0,0
UI08,ui-ux-design,0,0,0,0,1,1
UI09,ui-ux-design,0,0,0,1,0,1
UI10,ui-ux-design,0,0,0,0,1,1
CC01,content-creation,0,1,0,0,0,1
CC02,content-creation,0,1,0,0,0,1
CC03,content-creation,0,0,0,0,0,0
CC04,content-creation,0,0,0,0,0,0
CC05,content-creation,0,0,0,0,0,0
CC06,content-creation,0,0,0,0,0,0
CC07,content-creation,1,0,0,0,0,1
CC08,content-creation,1,0,0,0,0,1
CC09,content-creation,0,0,0,0,0,0
CC10,content-creation,1,0,0,0,0,1
RD01,research-and-analysis,1,0,0,0,0,1
RD02,research-and-analysis,0,0,1,0,0,1
RD03,research-and-analysis,1,0,0,0,0,1
RD04,research-and-analysis,0,1,0,0,1,2
RD05,research-and-analysis,0,1,0,0,0,1
RD06,research-and-analysis,1,0,0,0,0,1
RD07,research-and-analysis,0,1,0,0,0,1
RD08,research-and-analysis,0,1,0,0,0,1
RD09,research-and-analysis,1,0,0,0,0,1
RD10,research-and-analysis,1,0,0,0,0,1
SC01,security-and-compliance,0,0,0,0,0,0
SC02,security-and-compliance,1,0,0,0,0,1
SC03,security-and-compliance,1,0,0,0,0,1
SC04,security-and-compliance,1,0,0,0,0,1
SC05,security-and-compliance,0,1,0,0,0,1
SC06,security-and-compliance,1,0,0,0,0,1
SC07,security-and-compliance,0,0,1,0,0,1
SC08,security-and-compliance,1,0,0,0,0,1
SC09,security-and-compliance,1,0,0,0,0,1
SC10,security-and-compliance,0,0,0,1,0,1
PM01,project-management,0,0,0,0,0,0
PM02,project-management,1,0,0,0,1,2
PM03,project-management,0,0,0,0,0,0
PM04,project-management,0,0,0,0,0,0
PM05,project-management,1,0,0,0,0,1
PM06,project-management,1,0,0,0,0,1
PM07,project-management,0,0,0,0,0,0
PM08,project-management,0,0,0,0,0,0
PM09,project-management,0,0,0,0,1,1
PM10,project-management,0,1,0,0,0,1
DM01,document-management,1,0,0,0,0,1
DM02,document-management,1,0,0,0,0,1
DM03,document-management,0,0,0,0,1,1
DM04,document-management,1,0,0,0,0,1
DM05,document-management,1,0,0,0,0,1
DM06,document-management,1,0,0,0,1,2
DM07,document-management,1,0,0,0,0,1
DM08,document-management,0,0,0,0,1,1
DM09,document-management,1,0,0,0,1,2
DM10,document-management,1,0,0,0,1,2
BS01,business-strategy,0,1,0,0,0,1
BS02,business-strategy,0,1,0,0,0,1
BS03,business-strategy,1,0,0,0,0,1
BS04,business-strategy,0,1,0,0,0,1
BS05,business-strategy,0,1,0,0,0,1
BS06,business-strategy,0,0,0,0,0,0
BS07,business-strategy,0,1,0,0,0,1
BS08,business-strategy,0,1,0,0,0,1
BS09,business-strategy,0,1,0,0,0,1
BS10,business-strategy,0,0,0,0,0,0
FA01,financial-analysis,0,1,0,0,0,1
FA02,financial-analysis,0,1,0,0,0,1
FA03,financial-analysis,0,1,0,0,0,1
FA04,financial-analysis,0,1,0,0,0,1
FA05,financial-analysis,0,0,0,0,0,0
FA06,financial-analysis,1,0,0,0,0,1
FA07,financial-analysis,0,1,0,0,0,1
FA08,financial-analysis,0,1,0,0,0,1
FA09,financial-analysis,0,1,0,0,0,1
FA10,financial-analysis,1,0,0,1,0,2
CT01,communication-tools,0,0,0,0,1,1
CT02,communication-tools,1,0,0,0,0,1
CT03,communication-tools,0,0,0,0,0,0
CT04,communication-tools,1,0,0,0,0,1
CT05,communication-tools,1,0,1,0,0,2
CT06,communication-tools,0,0,0,0,0,0
CT07,communication-tools,1,0,0,0,0,1
CT08,communication-tools,1,0,0,0,0,1
CT09,communication-tools,0,0,0,0,0,0
CT10,communication-tools,1,0,0,0,0,1
ET01,education-and-training,1,0,0,0,0,1
ET02,education-and-training,0,0,0,0,1,1
ET03,education-and-training,0,1,0,0,0,1
ET04,education-and-training,1,1,0,0,0,2
ET05,education-and-training,0,0,0,0,0,0
ET06,education-and-training,0,0,0,0,0,0
ET07,education-and-training,0,0,0,0,1,1
ET08,education-and-training,0,1,0,0,0,1
ET09,education-and-training,1,0,0,0,0,1
ET10,education-and-training,0,0,0,0,0,0
SM01,social-media-management,0,0,0,0,0,0
SM02,social-media-management,1,0,1,0,0,2
SM03,social-media-management,0,0,0,0,0,0
SM04,social-media-management,1,0,0,0,0,1
SM05,social-media-management,0,1,0,0,0,1
SM06,social-media-management,1,0,1,0,0,2
SM07,social-media-management,1,0,1,0,0,2
SM08,social-media-management,1,0,0,0,0,1
SM09,social-media-management,1,0,0,0,0,1
SM10,social-media-management,0,0,0,0,0,0
