category,procedural,analytical,orchestration,compliance,documentation
business-strategy,2.8,3.6,1.6,0.2,1.2
communication-tools,3.6,1.4,1.9,0.8,1.1
content-creation,3.2,2.7,2.1,0.5,1.1
document-management,3.8,1.5,2.4,0.6,2.5
education-and-training,3.3,2.5,2.0,1.0,2.2
financial-analysis,2.8,3.4,1.9,1.2,0.9
project-management,3.3,2.3,2.4,0.8,1.6
research-and-analysis,3.5,3.0,2.7,0.6,1.5
security-and-compliance,3.5,2.1,2.3,2.3,1.0
social-media-management,3.6,2.2,2.5,0.5,1.2
software-development,3.1,1.7,2.0,0.4,1.9
ui-ux-design,3.1,2.4,2.0,1.1,1.4
