category,display_label,n,coordination_burden_mean,coordination_burden_std,scope_micro_task,scope_single_bounded_task,scope_multi_step_workflow,scope_end_to_end_process,scope_unclear
business-strategy,Business Strategy,10,2.2,0.7888,0,3,5,2,0
communication-tools,Comms Tools,10,2.1,0.7379,0,3,6,1,0
content-creation,Content,10,2.3,0.483,0,3,6,1,0
document-management,Doc Management,10,2.3,0.483,0,4,5,1,0
education-and-training,Education,10,2.5,0.7071,0,4,2,4,0
financial-analysis,Finance,10,2.0,0.8165,0,3,3,3,1
project-management,Project Mgmt,10,2.3,0.6749,0,4,4,2,0
research-and-analysis,Research,10,2.7,0.483,0,0,8,2,0
security-and-compliance,Security,10,2.4,0.8433,0,2,5,3,0
social-media-management,Social Media,10,2.8,1.1353,0,2,4,4,0
software-development,Software Dev,10,2.3,0.6749,0,1,7,2,0
ui-ux-design,UI/UX,10,2.1,0.5676,0,3,4,3,0
