category,display_label,n,provenance_clarity_mean,maintenance_signals_mean,safety_notes_mean,scope_limits_mean,governance_total_mean
business-strategy,Business Strategy,10,2.7,0.9,0.6,1.3,1.375
communication-tools,Comms Tools,10,2.6,0.7,1.5,1.4,1.55
content-creation,Content,10,3.2,2.0,1.0,2.1,2.075
document-management,Doc Management,10,2.7,0.6,0.8,1.7,1.45
education-and-training,Education,10,2.6,0.3,0.9,1.1,1.225
financial-analysis,Finance,10,2.6,0.7,1.7,1.2,1.55
project-management,Project Mgmt,10,2.3,0.3,1.0,1.6,1.3
research-and-analysis,Research,10,2.2,0.5,1.5,2.1,1.575
security-and-compliance,Security,10,2.3,0.3,2.9,1.9,1.85
social-media-management,Social Media,10,3.0,1.0,0.9,1.6,1.625
software-development,Software Dev,10,2.6,0.5,1.2,1.4,1.425
ui-ux-design,UI/UX,10,2.6,0.2,0.8,1.7,1.325
