variable,variable_type,inverted,mean_llm_minus_human,sd_llm_minus_human,n
procedural,ordinal,False,0.375,0.5758,24
analytical,ordinal,False,0.4583,0.5299,24
orchestration,ordinal,False,0.5208,0.5801,24
compliance,ordinal,False,-0.7292,1.0213,24
documentation,ordinal,False,0.3125,0.7195,24
explicitness,ordinal,False,0.4167,0.5451,24
documentation_quality,ordinal,False,0.625,0.6635,24
tacit_dependency,ordinal,True,-0.1875,0.6726,24
context_sensitivity,ordinal,True,-0.0208,0.7295,24
coordination_burden,ordinal,False,0.1875,0.5067,24
output_verifiability,ordinal,False,-0.0833,0.5247,24
tests_quality,ordinal,False,0.1458,0.6672,24
thresholds_quality,ordinal,False,-0.1667,0.9743,24
error_handling,ordinal,False,0.2083,0.6903,24
provenance_clarity,ordinal,False,0.6875,0.4619,24
maintenance_signals,ordinal,False,0.3333,0.8165,24
safety_notes,ordinal,False,0.625,0.7974,24
scope_limits,ordinal,False,-0.1458,0.9381,24
codifiability_score,derived,False,0.25,0.6079,24
evaluability_score,derived,False,0.0625,0.6645,24
